questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel
mcsc,text,"In a transformer, what does the self-attention mechanism primarily allow the model to do when processing a sequence?",,85,,,,2,,Encode the whole sequence into a single fixed vector before the first layer runs,"Let each token gather information from other tokens, weighted by their relevance",Swap each token for its closest dictionary synonym to normalize the input text first,"Read tokens strictly left to right, never comparing one token against another one",,AgenticAI/self-attention,0.5
mcsc,text,A standard autoregressive language model generates text by doing what at each step?,,85,,,,2,,Selecting a full sentence from a fixed list of memorized candidate responses each time,Predicting a probability distribution over the next token given all preceding tokens,Filling in randomly masked tokens spread throughout the complete input sequence at once,Predicting every token in the output sentence at once in a single parallel forward pass,,AgenticAI/autoregression,0.5
mcsc,text,Why do transformer language models have a finite context window rather than accepting unlimited input length?,,85,,,,2,,"The output layer can emit just a fixed number of tokens, which caps the input length too",Attention compute scales with length and training used a fixed maximum length,The model keeps only one sentence in memory and throws away all earlier text later,Longer inputs are blocked because tokenization can handle only a few hundred characters,,AgenticAI/context-window,0.5
mcsc,text,Byte pair encoding and similar subword tokenizers split rare words into smaller pieces mainly to achieve what?,,85,,,,2,,Translate the input into another language before the model begins its processing,"Represent any word, including unseen ones, with a fixed, manageable vocabulary",Remove all punctuation and spacing so the model sees only lowercase letter runs later,Guarantee that each individual English word maps to exactly one whole-word token,,AgenticAI/tokenization,0.5
mcsc,text,"In semantic search, why is cosine similarity between embedding vectors used to compare two texts?",,85,,,,3,,It measures the exact character-level edit distance between the two input strings,Cosine similarity counts how many identical words the two texts literally share,Texts with similar meaning map to vectors pointing in similar directions,Shorter texts always score higher because the vector magnitude becomes much smaller,,AgenticAI/embeddings,0.5
mcsc,text,Retrieval-augmented generation reduces hallucination primarily because it does what?,,85,,,,3,,Retrains the model weights on the user question before producing any final answer,Lowers the sampling temperature to zero so the model can never make any mistake,Supplies relevant retrieved documents so answers can be grounded in real text,Removes the language model entirely and just returns raw search hits to the user,,AgenticAI/rag,0.5
mcsc,text,Why are long documents usually split into smaller chunks before being indexed for retrieval?,,85,,,,1,,Smaller passages match queries more precisely and fit the context budget,"Each chunk is translated separately, which improves the overall writing style later",Chunking permanently compresses the text so storage cost drops to almost nothing,The vector database rejects any document longer than a single short paragraph,,AgenticAI/chunking,0.5
mcsc,text,What is the primary role of a vector database in a retrieval system?,,85,,,,1,,Store embeddings and quickly find those nearest to a query vector,Convert user questions into SQL and run them against relational tables first,Generate the final natural language answer shown directly to the end user,Compress the model weights so the language model loads faster at startup time,,AgenticAI/vector-db,0.5
mcsc,text,Chain-of-thought prompting tends to improve performance on multi-step reasoning tasks because it does what?,,85,,,,3,,Retrieves external documents that already contain the fully worked out solution,Forces the model to answer only in a single word so there is no confusion,Prompts the model to lay out intermediate steps before giving the answer,Increases the sampling temperature so the model explores far more creative guesses,,AgenticAI/chain-of-thought,0.5
mcsc,text,What distinguishes few-shot prompting from zero-shot prompting?,,85,,,,3,,Few-shot always uses a higher sampling temperature than zero-shot prompting does,"Few-shot works only for images, while zero-shot applies just to plain text tasks",Few-shot includes worked examples in the prompt while zero-shot gives none,"Few-shot permanently updates the model weights, while zero-shot leaves them fixed",,AgenticAI/few-shot,0.5
mcsc,text,"In a chat-formatted prompt, what is the typical purpose of the system role message?",,85,,,,1,,Set the overall behavior and constraints for the assistant,Store the retrieved documents that were fetched from an external knowledge base,Hold the model's previous replies so they can be echoed back to the user later,Contain the exact question the end user is asking on this current turn,,AgenticAI/chat-roles,0.5
mcsc,text,Why might a developer instruct a model to return its output as strict JSON?,,85,,,,1,,So downstream code can parse the fields reliably without fragile scraping,Because JSON responses are always shorter than the equivalent plain English answers,Because JSON output makes the language model reason more accurately on hard problems,Because JSON output can never contain any factual mistakes or invented information,,AgenticAI/structured-output,0.5
mcsc,text,How do temperature and top-p sampling differ in how they control randomness during generation?,,85,,,,3,,"Temperature edits the prompt wording, while top-p changes the model architecture","Temperature sets the output length, while top-p selects the language of the response",Temperature rescales the logits; top-p keeps only the top probability mass,"Both are identical settings, so changing either one has exactly the same effect anyway",,AgenticAI/sampling,0.5
mcsc,text,"When a RAG system attaches citations to its answer, what does this primarily let a user do?",,85,,,,3,,Confirm that the language model was retrained on the very latest available data,See how long the model spent generating each sentence of the final response here,Check the answer against the specific source passages that were retrieved,Guarantee the answer is correct because any cited answer is automatically true,,AgenticAI/grounding,0.5
mcsc,text,Prompt injection is best described as an attack in which what happens?,,85,,,,1,,Malicious text in the input tricks the model into ignoring its instructions,Random noise is added to embeddings so retrieval returns unrelated documents instead,The database server is overloaded with traffic until it stops responding at all,Model weights are stolen and copied onto an attacker controlled server remotely,,AgenticAI/prompt-injection,0.5
mcsc,text,Reinforcement learning from human feedback is primarily used to do what to a language model?,,85,,,,2,,Expand its context window so it can read much longer documents at once,Align its responses with human preferences about helpfulness and safety,Teach it an entirely new natural language it was never exposed to before,Compress its parameters so it runs on much smaller devices than usual now,,AgenticAI/rlhf,0.5
mcsc,text,What is the core idea behind parameter-efficient fine-tuning methods such as LoRA?,,85,,,,4,,Delete unused layers so the network becomes smaller and faster to serve later,Replace the tokenizer with a custom one tailored to the target domain data set,Retrain every parameter of the base model from scratch on the new dataset,Train a small set of added weights while keeping the base model frozen,,AgenticAI/peft-lora,0.5
mcsc,text,"For giving a model access to a frequently changing knowledge base, why is RAG often preferred over fine-tuning?",,85,,,,4,,RAG permanently bakes the facts into the weights so no storage is needed later on,Fine-tuning is the only method that can ever change how the model behaves at all,Fine-tuning updates the stored knowledge automatically every time a document changes,New documents can be indexed instantly without retraining the model weights,,AgenticAI/rag-vs-finetune,0.5
mcsc,text,"In an LLM, where does knowledge supplied at inference time through the prompt reside, versus knowledge learned during training?",,85,,,,3,,Both kinds live only in the prompt and vanish as soon as the current request completes,Both kinds of knowledge are stored permanently inside the model weight matrices only,Prompt knowledge sits in the context window; trained knowledge is in the weights,"Prompt knowledge is saved to disk, while trained knowledge stays inside the prompt text",,AgenticAI/context-vs-parameters,0.5
mcsc,text,"In a retrieval pipeline, what is the purpose of a re-ranking step after the initial search?",,85,,,,2,,Generate brand new documents to add into the knowledge base automatically now,Reorder candidates so the most relevant passages rise to the top,Delete the vector database once the first set of results has been fetched,Translate every retrieved passage into the language used by the question,,AgenticAI/re-ranking,0.5
mcsc,text,"What primarily distinguishes an agentic system from a single, one-shot LLM call?",,85,,,,3,,It relies on a much larger model with many billions more parameters than a chatbot,It handles the user request without ever calling a language model at all,"It can invoke tools, observe the results, and choose its next step toward a goal",It always returns longer and more detailed prose than a normal chat response,,AgenticAI/agentic-vs-llm,0.5
mcsc,text,"In the perceive-reason-act loop, what does the perceive step mainly provide to the agent?",,85,,,,1,,The current observations or environment state used to decide what to do next,A randomly chosen tool that the agent must execute before doing anything else,A rewrite of the agent's own system prompt to change its overall personality,A final committed answer that ends the loop and stops all further processing,,AgenticAI/perceive-reason-act,0.5
mcsc,text,How does an LLM typically make use of an external tool during function calling?,,85,,,,1,,It emits a structured request naming the tool and arguments; a runtime runs it,It permanently compiles the tool into the model's parameters before using it,It guesses the tool's output from context instead of actually invoking it at all,It executes the selected tool's code directly within its own neural network weights,,AgenticAI/tool-calling,0.5
mcsc,text,The ReAct pattern is characterized by which approach to reasoning and acting?,,85,,,,4,,Generating one complete final answer up front before ever taking any action,Avoiding tool use entirely and reasoning purely from memorized training facts,Taking several random actions first and only reasoning about the outcomes afterward,Interleaving reasoning steps with actions so each thought guides the next call,,AgenticAI/react-pattern,0.5
mcsc,text,"In an agent, what does task decomposition (planning) primarily involve?",,85,,,,3,,Discarding steps from a task so the agent can finish the whole thing more quickly,Translating the user's original request into a different natural language first,Splitting a complex goal into smaller subtasks the agent can tackle in order,Compressing several separate user requests into a single very short summary line,,AgenticAI/task-decomposition,0.5
mcsc,text,"In an agent, short-term (working) memory typically holds which of the following?",,85,,,,1,,"The recent context of the current task, such as intermediate results and dialogue","The model's fixed pretrained weights, which never change at runtime during a task",User preferences stored indefinitely so they can be recalled in future sessions,Permanent facts retrieved from an external database and reused across many sessions,,AgenticAI/memory-types,0.5
mcsc,text,Why do multi-step agents generally need some form of memory?,,85,,,,4,,So the underlying language model can permanently update its own weights during a run,So the agent can produce answers without ever having to call any external tools,So every new step starts completely fresh with no knowledge of what came before,So results and decisions from earlier steps stay available to inform later ones,,AgenticAI/why-memory,0.5
mcsc,text,What is the orchestrator in an agent system mainly responsible for?,,85,,,,2,,Storing the user's password and other secret credentials in an encrypted vault,"Coordinating the flow between steps, tools, and models toward the overall goal",Computing the raw token probabilities for every individual word the model produces,Rendering the agent's final answer as a formatted web page for the end user,,AgenticAI/orchestrator,0.5
mcsc,text,"When is a fixed, deterministic workflow usually preferable to an autonomous agent?",,85,,,,4,,When the task is open ended and the necessary steps cannot be known ahead of time,When the inputs vary so widely that no two runs ever look remotely similar at all,When the goal keeps changing and requires fresh creative reasoning on every run,"When the steps are known and fixed, so predictability and low cost matter most",,AgenticAI/agent-vs-workflow,0.5
mcsc,text,What is a human-in-the-loop checkpoint in an agent primarily used for?,,85,,,,2,,Replacing the language model entirely with a person who writes every response,Getting human approval before the agent performs a risky or irreversible action,Letting the agent run much faster by skipping any and all review of its planned actions,Hiding the agent's reasoning so that users cannot see how decisions were made,,AgenticAI/human-in-the-loop,0.5
mcsc,text,What does a reflection or self-critique step let an agent do?,,85,,,,4,,Delete all memory of the task so that it can restart again from scratch,Increase the size of the model it runs on partway through a single task,Skip all verification and return its very first draft as quickly as possible,"Review its own draft output, spot errors, and revise it before finalizing",,AgenticAI/reflection,0.5
mcsc,text,What is a key risk when an agent must choose among many available tools?,,85,,,,3,,It runs every available tool at the same time and safely merges all of the outputs,It becomes permanently unable to produce any text output for the rest of the session,"It may pick the wrong tool or pass incorrect arguments, producing a faulty result",It permanently deletes any tools that it decides it does not need for the current task,,AgenticAI/tool-selection-risk,0.5
mcsc,text,"Why are agent tools usually described with structured schemas, such as JSON with typed parameters?",,85,,,,1,,"So the model knows each tool's inputs and can format valid, checkable calls",So that the tool can run without any code ever being written by a developer,So that users are forced to memorize every parameter name before using the agent,So the model can ignore the parameters and call the tools however it likes,,AgenticAI/tool-schemas,0.5
mcsc,text,The Model Context Protocol (MCP) is best described as which of the following?,,85,,,,4,,A compression format used for shrinking a model's weights before it is deployed,A ranking system that scores which chatbot gives the best answers to a prompt,A training technique that makes language models substantially larger and more accurate,A standard interface that lets models connect to external tools and data sources,,AgenticAI/mcp,0.5
mcsc,text,What is a common reason to use several specialized agents instead of one general agent?,,85,,,,1,,"Each agent can focus on a narrow role, so its part is easier to design and check",A single agent is physically incapable of ever calling more than one tool at a time,Multiple agents remove any need to define an overall goal for the whole system,Adding more and more agents will always guarantee a faster and cheaper final result,,AgenticAI/multi-agent,0.5
mcsc,text,"In a multi-step agent, what does the state passed between steps usually refer to?",,85,,,,4,,The total number of times the user has opened the application during this month,The model's internal pretrained weights being edited after each individual step,The physical server location where the agent's process happens to be running now,The accumulated results carried forward so later steps can build on them,,AgenticAI/state-passing,0.5
mcsc,text,"Grounding an agent's actions in real data, for example through retrieval, mainly helps to do what?",,85,,,,4,,Let the agent completely avoid using any tools while still sounding confident,Increase the creativity of its answers by ignoring the provided factual data,Make the agent respond faster by skipping any external data lookups,Base its outputs on verifiable sources instead of unsupported guesses,,AgenticAI/grounding,0.5
mcsc,text,Why is a stopping condition added to an agent loop?,,85,,,,2,,To guarantee the agent uses each of its available tools an equal number of times,"To end the loop when the goal is met or a step limit is hit, avoiding endless runs",To force the model to produce much longer answers on every single attempt it makes,To prevent the agent from ever asking the user any clarifying question at all,,AgenticAI/stopping-conditions,0.5
mcsc,text,"Compared with a single LLM call, a multi-step agent typically exhibits which trade-off?",,85,,,,3,,No way to make use of external tools during any part of its execution flow,Lower accuracy on every task because the extra steps only ever add confusion,"Higher cost and latency, since each step adds more model calls and tokens",A completely fixed runtime that never changes no matter how hard the task becomes,,AgenticAI/cost-latency,0.5
mcsc,text,"After an agent executes an action, what normally happens to the resulting observation?",,85,,,,3,,It is discarded right away so that it cannot influence any later decisions,It is used to permanently retrain the underlying base model before continuing,It is fed back into the loop so the next reasoning step can account for it,It is shown only to the end user and is never seen by the agent again,,AgenticAI/observation-feedback,0.5
mcsc,text,"In a planner-executor agent architecture, what is the primary reason for separating planning from execution rather than deciding and acting in one combined loop?",,130,,,,1,,"Separating decomposition from action lets the planner reason over the whole task upfront, so the executor runs steps without re-deriving the goal each time.","It makes the whole system deterministic, because fixing the plan also fixes the exact tokens the executor will emit at every later step.","It guarantees the plan cannot fail, because every step is fully validated against the goal before any action in the environment is ever run.","It removes the executor's need to call external tools, since the planner resolves and pre-computes all of the required tool calls in advance.",,AgenticAI/planner-executor,1
mcsc,text,"The reflection (self-critique) pattern, where an agent reviews and revises its own prior output, most reliably improves performance on tasks with which property?",,130,,,,2,,"The model has no access to any tools, which usefully forces it to rely on internal reasoning alone when producing the revised answer.","The task provides a checkable signal of correctness the critique can use, such as test results, error messages, or verifiable constraints.","The task is purely subjective, so any self-generated critique is just as valid as an external judgment about whether the output is right.","The final answer is a single token, which minimizes the chance of the revision step introducing brand new errors into the output.",,AgenticAI/reflection,1
mcsc,text,What is the essential capability that tree-of-thoughts adds over a single chain-of-thought?,,130,,,,4,,It removes the need for any intermediate reasoning by producing the final answer directly from the prompt in a single decoding pass.,It guarantees a globally optimal solution by exhaustively enumerating every possible thought before it selects one final answer to return.,It replaces the underlying language model with a symbolic search engine that no longer samples tokens from a learned distribution.,"It explores multiple reasoning branches and can backtrack, abandoning unpromising partial solutions instead of committing to one linear path.",,AgenticAI/tree-of-thoughts,1
mcsc,text,"In multi-agent systems, what best distinguishes orchestration from choreography?",,130,,,,3,,"Orchestration requires every agent to share one common model, while choreography strictly requires each agent to run a distinct and separate model.","Orchestration permits agents to use external tools, while choreography by definition forbids any agent from calling external tools at all.","Orchestration uses a central coordinator that directs each agent, while in choreography agents react to shared events or messages with no central controller.","Orchestration is always synchronous while choreography is always asynchronous, and this timing contrast is what defines the two patterns apart.",,AgenticAI/orchestration-choreography,1
mcsc,text,"In a long multi-step agent task where each dependent step succeeds independently with probability p, why does end-to-end reliability often degrade faster than practitioners expect?",,130,,,,4,,"The model forgets its system prompt after a fixed number of steps, which triggers one abrupt failure late in the otherwise reliable task.","Errors made in separate steps tend to cancel out over a long run, so the real risk is underconfidence rather than any compounding of failures.","Latency accumulates roughly linearly across the steps, and this growing delay is the dominant cause of end-to-end task failure over time.","Per-step success probabilities multiply, so even individually high reliability yields a product that falls sharply as the chain of dependent steps grows.",,AgenticAI/error-compounding,1
mcsc,text,Why is evaluating an agent generally harder than evaluating a single LLM response?,,130,,,,4,,"Only the final answer matters for an agent, so its intermediate tool calls can be safely ignored during any careful scoring process.","Agent outputs are fully deterministic, which removes the evaluator's ability to sample and compare multiple gradings of the same run.","Agents always produce much longer text, so an evaluator simply needs more tokens of surrounding context to grade the response accurately.","An agent produces a trajectory of interdependent actions, so correctness depends on the whole path and its side effects, not on one final string.",,AgenticAI/agent-evaluation,1
mcsc,text,"In advanced RAG, what is the main reason to combine dense (vector) retrieval with sparse (keyword) retrieval before a re-ranking stage?",,130,,,,3,,"Sparse retrieval captures meaning while dense retrieval only matches exact strings, so pairing them conveniently covers both retrieval needs at once.","Combining the two removes any need for a re-ranking stage, because their union is already ordered perfectly by relevance to the input query.","Dense retrieval captures semantic similarity while sparse retrieval catches exact terms like rare IDs, so together they raise recall before re-ranking.","Dense and sparse retrieval return essentially identical candidate sets, so the combination mainly adds redundancy that improves overall reliability.",,AgenticAI/hybrid-search,1
mcsc,text,Under which condition does putting all documents directly into a long context window tend to beat retrieval-augmented generation?,,130,,,,1,,When the corpus is small enough to fit in context and reasoning needs information scattered across many parts that retrieval might fragment or miss.,"When the cost per query must be minimized, since sending a full long context is always cheaper than running a separate retrieval step.","When exact keyword lookup is required, because a long context window performs literal string matching more reliably than a retriever does.","When the corpus is far larger than any context window, since long context scales gracefully to an effectively unlimited number of documents.",,AgenticAI/long-context-vs-rag,1
mcsc,text,What is the core idea that distinguishes GraphRAG from standard chunk-based RAG?,,130,,,,3,,"It guarantees that every retrieved fact is correct, because each edge in the graph is verified against an authoritative external database first.",It stores document chunks as image graphs so that a vision model can read and scan through the material faster than it could read plain text.,"It builds a structured graph of entities and relationships from the corpus, so retrieval can traverse connections and answer questions that span many documents.",It replaces the language model with a graph neural network that answers questions directly from edges without any text generation step at all.,,AgenticAI/graphrag,1
mcsc,text,"For a tool-using agent that reads untrusted web content, which is the most robust defense against prompt injection?",,130,,,,2,,Add a strong system prompt that instructs the model to never follow any instructions that appear inside the retrieved external content it reads.,"Treat retrieved content as untrusted data and constrain the actions the agent may take on it, not just instruct the model to ignore malicious text.","Increase the model size, since sufficiently large models become effectively immune to instructions injected through tool outputs and web pages.","Encrypt the retrieved content before use, so that any injected instructions inside it cannot be parsed or acted on by the model at all.",,AgenticAI/prompt-injection,1
mcsc,text,Why is exact reproducibility difficult to guarantee for LLM-based agents even at temperature zero?,,130,,,,4,,"Greedy decoding always yields byte-identical text on every machine, so any observed variation must be the result of a bug in the harness.","The model retrains itself on each incoming query, so its underlying weights are different by the time the next identical request arrives to it.","Temperature zero still samples randomly from the full distribution, so the produced text is expected to vary from one run to the next by design.","Nondeterministic GPU floating-point reductions, and tool or environment state that changes between runs, can alter outputs even under greedy decoding.",,AgenticAI/reproducibility,1
mcsc,text,"In a long-horizon agent task that ends in failure, why is credit assignment particularly hard?",,130,,,,2,,"Failure in a long task is always caused by the final action taken, so only that last step ever needs to be inspected to explain the outcome.","The failure may stem from an early decision whose consequences only surfaced many steps later, making it hard to attribute the outcome to the responsible action.","Every step in the trajectory contributes exactly equally to the outcome, so blame for the failure can simply be divided uniformly across steps.","The reward signal is dense at every single step, so the action responsible for the eventual failure is immediately obvious from the trace.",,AgenticAI/credit-assignment,1
mcsc,text,An agent sometimes calls a valid tool but with fabricated argument values. Which mitigation most directly addresses this?,,130,,,,1,,"Validate arguments against the tool schema and known valid values before running, then re-prompt or reject when a value cannot be grounded.","Give the model access to many more tools, so that it always has alternatives available whenever one particular call happens to fail at runtime.","Raise the sampling temperature, so that the model considers a wider and more creative range of possible argument values on each attempt it makes.","Remove the tool schema entirely, so that the model is free to choose whatever argument names and formats it prefers for each separate call.",,AgenticAI/tool-argument-hallucination,1
mcsc,text,What does a standard agent-tool protocol such as the Model Context Protocol primarily aim to solve compared with ad-hoc function calling?,,130,,,,1,,It defines a common interface so tools and data sources can be reused across different agents and hosts without bespoke integration for each pairing.,It makes every tool call run faster by compiling the supplied function definitions down into native machine code before the agent executes them.,"It removes the need for the model to decide which tool to call, because the protocol itself selects the correct tool automatically for the agent.",It guarantees that any tool connected through the protocol is secure and structurally incapable of leaking the data it is given access to.,,AgenticAI/mcp-interoperability,1
mcsc,text,Increasing an agent's autonomy by removing human-in-the-loop checkpoints has which characteristic tradeoff?,,130,,,,1,,"Throughput and speed rise while the cost of undetected errors grows, since fewer points remain to catch mistakes before they cause irreversible effects.","Both error rates and latency fall together, because the human review stage was in practice the only real source of mistakes in the pipeline.","Reproducibility improves substantially, because removing the human from the loop is what makes the overall system behave fully deterministically.","The agent then needs fewer tools, because greater autonomy reduces the total number of distinct actions it is ever able to take on a task.",,AgenticAI/autonomy-oversight,1
mcsc,text,Why might placing guardrails only on the final output of a tool-using agent be insufficient?,,130,,,,2,,"The input and tool-call layers cannot be inspected at runtime, so checking the final output is the only technically feasible option available.","Tool actions can cause harmful or unauthorized effects during execution, so unsafe behavior must also be caught at the input and tool-call layers.","Output guardrails noticeably slow down generation, so relocating them earlier in the pipeline is purely a latency optimization with no safety change.","A well-aligned model always produces safe final outputs, so placing guardrails on those outputs is largely redundant work that can be removed.",,AgenticAI/guardrail-placement,1
mcsc,text,What distinguishes agentic RAG from a standard retrieve-then-generate pipeline?,,130,,,,1,,"The agent decides dynamically whether, when, and what to retrieve, and can issue multiple targeted queries or skip retrieval based on the evolving task.",It retrieves exactly once at the very start of the task and then never issues another query for the remainder of the interaction with the user.,It removes the generation step altogether and returns the retrieved passages verbatim to the user as the complete answer to their question.,"It always retrieves a fixed number of chunks before generating anything, which ensures the context size stays consistent across every possible query.",,AgenticAI/agentic-rag,1
mcsc,text,"In an open-ended agent loop, which strategy most directly controls runaway cost without simply degrading the underlying model?",,130,,,,3,,"Always switch to the single largest available model, since its stronger reasoning tends to finish any given task in far fewer overall steps.","Increase the sampling temperature, so the agent explores a broader set of candidate solutions on every single iteration of the outer loop.","Impose explicit budgets such as step, token, or tool-call limits with a stopping rule, so the loop halts once it passes a defined threshold.","Remove all stopping conditions, so the agent is free to discover the cheapest possible path entirely on its own over the course of the run.",,AgenticAI/cost-control,1
mcsc,text,What is the key correctness precondition for safely caching (memoising) an agent's tool call results?,,130,,,,3,,"The tool must be slow to run, since only expensive calls are ever worth caching regardless of how the tool actually behaves internally each time.","The tool must modify some external state on every call, so that the cache can faithfully record each of those state changes for later replay.","The tool must be effectively deterministic and free of side effects for a given input, so a stored result stays valid whenever it is reused.","The tool must return a genuinely different result on each call, which is what ensures the contents of the cache always stay fresh over time.",,AgenticAI/tool-call-caching,1
mcsc,text,Why does inserting verification or grounding steps between actions help most in long agent trajectories?,,130,,,,2,,"It guarantees the final answer is correct, because every step in the trajectory was independently checked before the agent moved onward.","Catching and correcting an error early prevents it from propagating and compounding through later dependent steps, keeping the trajectory on track.","It makes each individual step run faster, and that speedup is the main way the added verification improves the final accuracy of the task.","It removes the need for any planning at all, since steps that have been verified along the way no longer require an overall plan to succeed.",,AgenticAI/verification-grounding,1
