questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel
mcsc,text,"The LCM of two numbers is 120 and their HCF is 8. If one of the numbers is 24, what is the other number?",,110,,,,3,,32,36,40,48,,number-theory/HCF-LCM,0.5
mcsc,text,The sum of the roots of the quadratic equation 2x^2 - 5x + 3 = 0 is:,,100,,,,2,,3/2,5/2,-5/2,-3/2,,algebra/quadratic-equations,0.5
mcsc,text,For which range of values of x is the inequality 3x - 7 > 2x + 5 satisfied?,,100,,,,3,,x > 2,x < 12,x > 12,x < 2,,algebra/inequalities,0.5
mcsc,text,A chord of length 16 cm is at a distance of 6 cm from the centre of a circle. What is the radius of the circle?,,120,,,,2,,8 cm,10 cm,12 cm,14 cm,,geometry/circles,0.5
mcsc,text,"What is the distance between the points A(1, 3) and B(4, 7)?",,100,,,,3,,3,4,5,7,,geometry/coordinate-geometry,0.5
mcsc,text,"A bag contains 4 red balls and 6 blue balls. One ball is drawn at random and found to be red. Without replacing it, another ball is drawn. What is the probability that the second ball is also red?",,130,,,,2,,2/5,1/3,4/9,3/10,,probability/conditional,0.5
mcsc,text,A committee of 3 members is to be formed from a group of 5 men and 4 women. In how many ways can the committee be formed such that it contains at least 1 woman?,,145,,,,1,,74,80,84,70,,probability/combinations,0.5
mcsc,text,"In a family, P is the father of Q. R is the sister of Q. S is the husband of R. T is the son of S and R. How is T related to P?",,165,,,,3,,Son,Nephew,Grandson,Son-in-law,,logical-reasoning/blood-relations,0.5
mcsc,text,"Five people P, Q, R, S, and T are seated in a straight row from left to right (positions 1 to 5). The following conditions hold: (i) R sits exactly in the middle. (ii) P sits immediately to the left of Q. (iii) S sits at one of the two ends. (iv) T sits to the right of R. Which of the following is definitely true?",,155,,,,2,,S sits at the leftmost position,Q sits 2nd from the left,T sits immediately to the right of Q,P sits 4th from the left,,logical-reasoning/arrangements,0.5
mcsc,text,"A store's monthly sales (in units) over four months are: January = 240, February = 180, March = 300, April = 280. By what percentage do March sales exceed the average monthly sales across these four months?",,165,,,,4,,10%,15%,25%,20%,,data-interpretation/table,0.5
mcsc,text,"A pie chart shows the market share of five companies: Company A = 25%, Company B = 30%, Company C = 15%, Company D = 20%, Company E = remainder. If Company B's annual revenue is Rs. 60 lakhs, what is the total annual market revenue?",,120,,,,4,,Rs. 180 lakhs,Rs. 150 lakhs,Rs. 240 lakhs,Rs. 200 lakhs,,data-interpretation/pie-chart,0.5
mcsc,text,"The average age of a group of 12 students is 15 years. When 3 new students join the group, the average age of the enlarged group increases by 1 year. What is the average age of the 3 new students?",,145,,,,3,,18 years,19 years,20 years,21 years,,arithmetic/averages-mixtures,0.5
mcsc,text,How many positive integers less than or equal to 200 have exactly 3 positive factors?,,165,,,,3,,5,4,6,7,,number-theory/factors-multiples,0.5
mcsc,text,The 4th term of an arithmetic progression is 22 and the 9th term is 42. What is the sum of the first 15 terms?,,185,,,,1,,570,525,600,540,,algebra/progressions,0.5
mcsc,text,A path of uniform width is laid all around a rectangular garden of length 30 m and width 20 m. The area of the path is 216 sq. m. What is the width of the path?,,200,,,,2,,1.5 m,2 m,2.5 m,3 m,,geometry/mensuration-2D,0.5
mcsc,text,"Train X leaves Station A towards Station B at 60 km/h. Train Y leaves Station B towards Station A at 90 km/h, exactly 30 minutes after Train X departs. The two trains meet at a point 144 km from Station A. What is the distance between Stations A and B?",,360,,,,1,,315 km,270 km,300 km,330 km,,arithmetic/time-speed-distance,1
mcsc,text,"A trader marks his goods at 40% above cost price and then gives successive discounts of 10% and 15% on the marked price. If the cost price is Rs. 500, what is the net profit percentage?",,280,,,,2,,6.3%,7.1%,5.0%,8.5%,,arithmetic/profit-loss-advanced,1
mcsc,text,"A sum of Rs. 8,000 is split into two parts. One part is invested at 10% per annum compound interest for 2 years and the other part at 8% per annum simple interest for 2 years. The total interest earned from both parts is Rs. 1,530. What is the amount invested at compound interest?",,320,,,,1,,"Rs. 5,000","Rs. 4,000","Rs. 3,000","Rs. 6,000",,arithmetic/compound-interest,1
mcsc,text,What is the remainder when 7^100 is divided by 48?,,240,,,,1,,1,7,25,35,,number-theory/remainders-advanced,1
mcsc,text,"How many integers from 1 to 500 inclusive are divisible by exactly two of the three numbers 2, 3, and 5?",,360,,,,3,,115,120,118,112,,number-theory/prime-factorization,1
mcsc,text,A function f is defined for all real x as f(x) = |x - 3| + |x + 2|. What is the minimum value of f(x)?,,225,,,,1,,5,3,4,2,,algebra/functions-graphs,1
mcsc,text,A geometric progression has first term 1 and common ratio 2. The sum of all its terms is 255 and the sum of the last 3 terms is 224. How many terms are in the progression?,,240,,,,2,,7,8,9,6,,algebra/progressions-advanced,1
mcsc,text,"In triangle PQR, angle Q = 90 degrees. M is the midpoint of PR (the hypotenuse). The length of the median QM is 13 cm and PQ = 10 cm. What is the length of QR?",,280,,,,1,,24 cm,26 cm,20 cm,22 cm,,geometry/triangles-advanced,1
mcsc,text,A solid cylinder of radius 7 cm and height 10 cm is completely melted and recast into a solid cone of the same base radius of 7 cm. What is the height of the cone formed?,,240,,,,3,,20 cm,25 cm,30 cm,15 cm,,geometry/mensuration-3D,1
mcsc,text,A team of 3 people is to be selected from a group of 4 men and 3 women. In how many ways can the team be selected such that it contains at least 2 women?,,280,,,,4,,15,18,12,13,,probability/permutations-combinations,1
mcsc,text,"A factory has two machines, M1 and M2. M1 produces 40% of all bolts; M2 produces the remaining 60%. The defect rate for M1 is 3% and for M2 is 2%. A bolt is picked at random and found to be defective. What is the probability that it was produced by M1?",,270,,,,1,,1/2,2/5,3/5,1/3,,probability/bayes-conditional,1
mcsc,text,"In a survey of 120 students, 70 play cricket, 60 play football, and 50 play hockey. 30 play both cricket and football, 25 play both football and hockey, and 20 play both cricket and hockey. Every student plays at least one sport. How many students play all three sports?",,240,,,,4,,35,25,30,15,,logical-reasoning/sets-venn,1
mcsc,text,"Consider the following argument: 'All students who studied hard passed the exam. Ravi did not study hard. Therefore, Ravi did not pass the exam.' Which statement best identifies the logical flaw, if any, in this argument?",,340,,,,2,,The argument is valid because not studying hard means the sufficient condition for passing is absent.,"The argument is invalid: it denies the antecedent, since studying hard is sufficient but not necessary to pass.",The argument is invalid: it commits circular reasoning by assuming its conclusion within a premise.,The argument is invalid because the conclusion uses a different subject than either premise introduces.,,logical-reasoning/critical-reasoning,1
mcsc,text,"The table below shows sales (thousands of units) and revenue (lakhs of rupees) for four products over two years.

Product | Sales Y1 | Sales Y2 | Revenue Y1 | Revenue Y2
A       |    40    |    50    |    200     |    300
B       |    60    |    48    |    300     |    264
C       |    80    |   100    |    320     |    450
D       |    20    |    25    |    100     |    175

For which product did the price per unit (in lakhs per thousand units) increase by the greatest absolute amount from Y1 to Y2?",,320,,,,4,,Product A,Product B,Product C,Product D,,data-interpretation/multi-source,1
mcsc,text,"Consider a two-digit positive integer N. Evaluate whether N can be uniquely determined using the statements below.

Statement I: The sum of the digits of N is 9.
Statement II: When the digits of N are reversed, the new number exceeds N by 27.

Which of the following is correct?",,300,,,,3,,Statement I alone is sufficient to uniquely identify N.,Statement II alone is sufficient to uniquely identify N.,"Both statements together are sufficient, but neither statement alone is sufficient.",Even combining both statements is not sufficient to identify N uniquely.,,data-interpretation/data-sufficiency,1
mcsc,text,"A vessel contains 100 litres of a mixture of milk and water in the ratio 3:2. A certain quantity x litres is removed from the vessel and replaced with the same volume of pure milk. After this, the ratio of milk to water becomes 4:1. Find x.",,300,,,,3,,10,25,50,40,,arithmetic/mixtures-advanced,1
mcsc,text,"What is the smallest positive integer N that satisfies all three conditions simultaneously: N leaves a remainder of 3 when divided by 5, a remainder of 2 when divided by 7, and a remainder of 1 when divided by 3?",,330,,,,2,,23,58,93,13,,number-theory/modular-arithmetic,1
mcsc,text,"For real x, the inequality (x^2 - 5x + 6) / (x^2 - 3x + 2) < 0 holds. Given that the expression is undefined at x = 1 and x = 2, the complete solution set is:",,340,,,,2,,2 < x < 3,1 < x < 2 or 2 < x < 3,1 < x < 2 or x > 3,x < 1 or x > 3,,algebra/inequalities-advanced,1
mcsc,text,"A circle passes through the points A(0, 0), B(6, 0), and C(0, 8). A line L passes through the centre of this circle and is perpendicular to BC. What is the equation of line L?",,330,,,,1,,3x - 4y + 7 = 0,4x - 3y - 4 = 0,3x - 4y - 7 = 0,4x + 3y - 25 = 0,,geometry/coordinate-geometry-advanced,1
mcsc,text,"A fair six-sided die is rolled up to 3 times. The rolling stops as soon as a 6 appears. You win Rs. 10 if a 6 appears on the 1st roll, Rs. 6 if a 6 first appears on the 2nd roll, and Rs. 3 if a 6 first appears on the 3rd roll. You win nothing if no 6 appears. What is your expected winning (to the nearest paisa)?",,350,,,,3,,Rs. 3.50,Rs. 4.00,Rs. 2.85,Rs. 3.20,,probability/expected-value,1
